NO.1C.O.T.P
13
1.29,0,0
1.87,0.05,86.91
2.37,0.1,142.06
3.23,0.2,177.72
4.06,0.3,199.23
4.85,0.4,221.8
5.62,0.5,245.41
6.37,0.6,254.26
7.11,0.7,258.22
7.85,0.8,262.19
8.58,0.9,266.18
8.95,0.95,268.19
9.17,0.98,267.53

NO.1C.O.T.S
13
0,0,0
1.87,0.05,87
2.37,0.1,142.2
3.23,0.2,177.9
4.06,0.3,199.43
4.85,0.4,222.03
5.62,0.5,245.65
6.37,0.6,254.52
7.11,0.7,258.47
7.85,0.8,262.45
8.58,0.9,266.45
8.95,0.95,268.46
9.17,0.98,267.8

NO.2C.O.T.P 
13
0,0,0
1.7,0.05,322.58
2.15,0.1,396.04
2.99,0.2,475.72
3.81,0.3,502.94
4.6,0.4,531.56
5.39,0.5,561.57
6.16,0.6,578.19
6.92,0.7,578.21
7.69,0.8,578.23
8.46,0.9,578.25
8.84,0.95,578.26
9.07,0.98,485.41

NO.2C.O.T.S
13
0,0,0
1.7,0.05,322.58
2.15,0.1,396.04
2.99,0.2,475.72
3.81,0.3,502.94
4.6,0.4,531.56
5.39,0.5,561.57
6.16,0.6,578.19
6.92,0.7,578.21
7.69,0.8,578.23
8.46,0.9,578.25
8.84,0.95,578.26
9.07,0.98,485.41

NO.3C.O.T.P
13
0,0,0
1.64,0.05,496.66
2.06,0.1,561.95
2.87,0.2,635.19
3.66,0.3,635.19
4.46,0.4,635.19
5.25,0.5,635.19
6.05,0.6,635.19
6.84,0.7,635.19
7.64,0.8,635.19
8.43,0.9,635.19
8.83,0.95,635.19
9.07,0.98,547.96

NO.3C.O.T.S
13
0,0,0
1.64,0.05,496.66
2.06,0.1,561.95
2.87,0.2,635.19
3.66,0.3,635.19
4.46,0.4,635.19
5.25,0.5,635.19
6.05,0.6,635.19
6.84,0.7,635.19
7.64,0.8,635.19
8.43,0.9,635.19
8.83,0.95,635.19
9.07,0.98,547.96

NO.4C.O.T.P
13
0,0,0
1.64,0.05,410.69
2.06,0.1,464.68
2.87,0.2,525.24
3.66,0.3,525.24
4.46,0.4,525.24
5.25,0.5,525.24
6.05,0.6,525.24
6.84,0.7,525.24
7.64,0.8,525.24
8.43,0.9,525.24
8.83,0.95,525.24
9.07,0.98,453.11

NO.4C.O.T.S
13
0,0,0
1.64,0.05,410.69
2.06,0.1,464.68
2.87,0.2,525.24
3.66,0.3,525.24
4.46,0.4,525.24
5.25,0.5,525.24
6.05,0.6,525.24
6.84,0.7,525.24
7.64,0.8,525.24
8.43,0.9,525.24
8.83,0.95,525.24
9.07,0.98,453.11

NO.5C.O.T.P
13
0,0,0
1.69,0.05,281.2
2.14,0.1,349.58
2.96,0.2,421.6
3.77,0.3,436.44
4.56,0.4,451.74
5.35,0.5,467.48
6.13,0.6,476.83
6.9,0.7,476.84
7.68,0.8,476.85
8.45,0.9,476.86
8.84,0.95,476.86
9.07,0.98,405.02

NO.5C.O.T.S
13
0,0,0
1.69,0.05,281.2
2.14,0.1,349.58
2.96,0.2,421.6
3.77,0.3,436.44
4.56,0.4,451.74
5.35,0.5,467.48
6.13,0.6,476.83
6.9,0.7,476.84
7.68,0.8,476.85
8.45,0.9,476.86
8.84,0.95,476.86
9.07,0.98,405.02

SLUDGE_OIL_W_T.P
13
0,0,0
1.77,0.05,33.19
2.25,0.1,49.99
3.1,0.2,64.91
3.91,0.3,71.15
4.71,0.4,77.59
5.48,0.5,84.21
6.23,0.6,87.11
6.98,0.7,87.11
7.73,0.8,87.11
8.48,0.9,87.11
8.86,0.95,87.11
9.08,0.98,73.12

SLUDGE_OIL_W_T.S
13
0,0,0
1.77,0.05,33.19
2.25,0.1,49.99
3.1,0.2,64.91
3.91,0.3,71.15
4.71,0.4,77.59
5.48,0.5,84.21
6.23,0.6,87.11
6.98,0.7,87.11
7.73,0.8,87.11
8.48,0.9,87.11
8.86,0.95,87.11
9.08,0.98,73.12

No.1FODAILYTK.S
13
0,0,0
5.92,0.05,0.51
6.05,0.1,0.51
6.29,0.2,0.51
6.54,0.3,0.51
6.78,0.4,0.51
7.03,0.5,0.51
7.27,0.6,0.51
7.52,0.7,0.51
7.76,0.8,0.51
8.01,0.9,0.51
8.13,0.95,0.51
8.2,0.98,0.51

No.2FODAILYTK.S
13
0,0,0
6.02,0.05,0.29
6.2,0.1,0.43
6.5,0.2,0.71
6.77,0.3,0.95
7.02,0.4,1.17
7.24,0.5,1.39
7.46,0.6,1.6
7.67,0.7,1.81
7.87,0.8,2.02
8.06,0.9,2.23
8.16,0.95,2.34
8.21,0.98,2.4

NO.1FOT.P
13
0,0,0
1.12,0.05,3.03
1.78,0.1,5.39
2.88,0.2,9.3
3.83,0.3,13
4.68,0.4,16.79
5.47,0.5,20.76
6.22,0.6,24.19
6.93,0.7,26.3
7.63,0.8,27.8
8.31,0.9,28.36
8.66,0.95,28.56
8.86,0.98,28.67

NO.1FOT.S
13
0,0,0
1.12,0.05,3.03
1.78,0.1,5.39
2.88,0.2,9.3
3.83,0.3,13
4.68,0.4,16.79
5.47,0.5,20.76
6.22,0.6,24.2
6.93,0.7,26.32
7.63,0.8,27.79
8.31,0.9,28.36
